customer_id,gender,customer_name,age,city_id,customer_type
1,M,Rajesh Verma,63,7,One-time
2,M,Amit Chopra,20,9,Corporate
3,F,Kavita Sharma,46,3,Regular
4,F,Preeti Reddy,52,4,Regular
5,M,Sanjay Verma,56,10,One-time
6,M,Amit Reddy,35,8,Regular
7,M,Rahul Gupta,37,3,Regular
8,F,Rekha Iyer,60,8,One-time
9,F,Anita Singh,40,6,Corporate
10,F,Neha Iyer,51,9,Corporate
11,F,Anita Chopra,50,9,One-time
12,F,Preeti Chopra,27,6,Corporate
13,M,Suresh Verma,50,8,Corporate
14,F,Priya Reddy,64,6,Corporate
15,F,Sunita Joshi,50,7,Corporate
16,F,Anita Patel,43,10,Regular
17,F,Anita Reddy,37,4,One-time
18,M,Rajesh Joshi,32,4,Corporate
19,F,Priya Gupta,54,9,One-time
20,F,Sonia Sharma,50,1,Regular
21,F,Neha Sharma,34,5,One-time
22,F,Rekha Chopra,22,1,Regular
23,M,Arjun Reddy,21,2,Regular
24,F,Anita Kumar,20,7,Regular
25,F,Anita Reddy,38,5,One-time
26,M,Arjun Reddy,57,7,One-time
27,M,Suresh Chopra,20,2,Corporate
28,M,Vijay Patel,38,2,Corporate
29,M,Arjun Chopra,25,9,One-time
30,M,Rajesh Chopra,59,6,Regular
31,F,Preeti Verma,53,3,Corporate
32,F,Rekha Sharma,46,3,One-time
33,M,Vijay Joshi,56,8,One-time
34,F,Anita Gupta,51,9,One-time
35,M,Vijay Kumar,39,2,Corporate
36,F,Neha Iyer,48,6,Regular
37,F,Preeti Patel,45,4,One-time
38,F,Rekha Sharma,52,9,Regular
39,M,Arjun Patel,51,1,Regular
40,F,Ayesha Patel,30,2,Corporate
41,F,Sunita Reddy,58,9,Corporate
42,M,Arjun Gupta,21,8,One-time
43,F,Anita Singh,60,10,One-time
44,F,Rekha Patel,23,9,Regular
45,M,Anil Iyer,18,8,One-time
46,M,Amit Reddy,29,8,One-time
47,F,Kavita Reddy,52,4,One-time
48,F,Neha Gupta,28,7,Regular
49,F,Rekha Kumar,40,5,Regular
50,F,Kavita Verma,31,5,Regular
51,F,Preeti Iyer,36,6,Regular
52,F,Anita Iyer,54,7,One-time
53,M,Karan Iyer,33,6,Regular
54,F,Pooja Joshi,61,10,Corporate
55,F,Neha Joshi,45,9,Corporate
56,F,Kavita Sharma,62,3,Regular
57,M,Sanjay Joshi,48,3,One-time
58,M,Karan Kumar,24,3,One-time
59,F,Neha Iyer,63,1,One-time
60,F,Ayesha Sharma,44,6,Corporate
61,F,Neha Verma,34,5,One-time
62,M,Sanjay Reddy,24,7,Regular
63,M,Karan Gupta,32,4,Regular
64,F,Preeti Gupta,57,9,Regular
65,F,Sonia Joshi,29,4,One-time
66,M,Rahul Joshi,25,10,Corporate
67,F,Neha Kumar,19,2,Corporate
68,F,Rekha Joshi,61,2,Regular
69,F,Rekha Kumar,55,6,Regular
70,F,Priya Patel,43,4,Regular
71,M,Ramesh Patel,38,2,One-time
72,M,Amit Chopra,30,6,Corporate
73,M,Amit Patel,36,7,Corporate
74,F,Priya Singh,35,2,One-time
75,F,Neha Kumar,19,1,Corporate
76,F,Priya Joshi,62,4,One-time
77,M,Arjun Chopra,59,7,Corporate
78,M,Sanjay Verma,45,8,Regular
79,F,Priya Joshi,40,2,Regular
80,M,Karan Reddy,21,9,Corporate
81,M,Karan Kumar,21,6,One-time
82,F,Neha Chopra,29,1,Regular
83,M,Anil Reddy,39,2,Corporate
84,M,Sanjay Gupta,43,7,Regular
85,F,Priya Sharma,57,3,Regular
86,F,Anita Verma,59,3,Regular
87,F,Rekha Patel,52,7,Regular
88,M,Suresh Verma,21,8,Corporate
89,M,Suresh Sharma,29,6,One-time
90,M,Ramesh Patel,21,7,One-time
91,M,Rahul Sharma,48,5,One-time
92,F,Kavita Patel,24,1,Regular
93,M,Rahul Patel,27,5,Regular
94,M,Arjun Sharma,41,10,Corporate
95,F,Rekha Kumar,32,6,One-time
96,M,Sanjay Sharma,56,10,One-time
97,F,Kavita Sharma,37,6,Corporate
98,M,Rajesh Verma,24,7,Corporate
99,M,Anil Reddy,30,8,Regular
100,M,Sanjay Verma,45,4,Regular
101,F,Rekha Joshi,56,5,Corporate
102,M,Sanjay Sharma,35,5,Corporate
103,M,Suresh Patel,64,6,Regular
104,M,Suresh Iyer,28,2,One-time
105,M,Rahul Reddy,53,1,One-time
106,F,Priya Singh,53,7,Regular
107,F,Preeti Kumar,19,2,Corporate
108,M,Vijay Singh,63,5,One-time
109,M,Amit Verma,34,2,Corporate
110,M,Karan Chopra,23,6,Corporate
111,M,Suresh Chopra,58,1,One-time
112,M,Ramesh Sharma,63,7,Regular
113,M,Suresh Kumar,40,5,One-time
114,M,Sanjay Singh,64,2,Regular
115,M,Anil Chopra,33,5,Corporate
116,M,Arjun Patel,58,5,One-time
117,F,Anita Gupta,43,5,One-time
118,M,Sanjay Patel,63,8,Regular
119,F,Sunita Gupta,18,3,Corporate
120,M,Arjun Patel,53,2,One-time
121,M,Sanjay Iyer,47,7,Corporate
122,F,Sunita Patel,19,2,One-time
123,M,Arjun Singh,37,1,Regular
124,M,Suresh Kumar,22,2,Corporate
125,M,Sanjay Joshi,48,10,One-time
126,F,Priya Chopra,25,7,Corporate
127,M,Rahul Sharma,47,4,Regular
128,M,Anil Singh,56,6,Corporate
129,F,Pooja Singh,19,7,Regular
130,M,Amit Iyer,30,10,Corporate
131,M,Arjun Iyer,21,10,Regular
132,F,Neha Kumar,62,8,Regular
133,F,Pooja Joshi,25,6,Corporate
134,F,Preeti Iyer,56,10,Corporate
135,F,Neha Gupta,42,1,One-time
136,M,Anil Verma,24,8,One-time
137,F,Priya Verma,31,10,Regular
138,M,Anil Chopra,46,3,Corporate
139,M,Karan Kumar,62,4,Corporate
140,F,Kavita Reddy,38,10,Corporate
141,F,Pooja Reddy,54,8,Regular
142,M,Rahul Sharma,50,9,Corporate
143,M,Vijay Sharma,58,3,Regular
144,M,Sanjay Gupta,42,9,Regular
145,M,Karan Kumar,63,1,One-time
146,M,Rajesh Reddy,31,9,Corporate
147,F,Neha Verma,26,7,Corporate
148,F,Rekha Reddy,32,1,Corporate
149,F,Rekha Verma,24,6,One-time
150,F,Anita Verma,19,1,Corporate
151,F,Kavita Reddy,48,4,Corporate
152,F,Ayesha Reddy,24,4,Regular
153,M,Suresh Joshi,58,4,Corporate
154,F,Rekha Sharma,28,6,Corporate
155,M,Rajesh Reddy,30,9,One-time
156,M,Vijay Patel,30,1,Regular
157,M,Arjun Sharma,43,10,One-time
158,F,Rekha Joshi,60,2,Regular
159,M,Vijay Patel,25,6,Corporate
160,F,Sonia Verma,31,7,Regular
161,F,Preeti Chopra,62,2,Regular
162,F,Sunita Verma,19,6,Regular
163,M,Rahul Verma,59,7,Corporate
164,F,Rekha Joshi,32,1,One-time
165,M,Rahul Singh,41,9,One-time
166,F,Kavita Reddy,51,6,Regular
167,F,Ayesha Gupta,21,2,Regular
168,F,Rekha Kumar,35,6,Regular
169,M,Rajesh Reddy,42,5,Regular
170,F,Ayesha Joshi,64,6,Regular
171,M,Anil Joshi,41,3,Regular
172,F,Neha Joshi,23,9,Regular
173,F,Priya Patel,51,8,One-time
174,F,Sonia Joshi,55,8,One-time
175,F,Pooja Verma,20,7,One-time
176,M,Anil Reddy,36,7,Corporate
177,M,Ramesh Sharma,64,3,Corporate
178,F,Preeti Joshi,63,10,One-time
179,M,Rajesh Gupta,53,9,Regular
180,F,Sunita Iyer,36,7,Corporate
181,M,Vijay Joshi,45,3,Regular
182,F,Ayesha Gupta,64,3,One-time
183,F,Priya Gupta,27,8,One-time
184,M,Anil Patel,35,5,Regular
185,M,Rajesh Patel,21,10,One-time
186,M,Suresh Gupta,29,6,Corporate
187,M,Vijay Sharma,44,2,Regular
188,M,Vijay Patel,46,2,Regular
189,F,Rekha Gupta,29,2,Corporate
190,M,Anil Patel,28,2,One-time
191,M,Ramesh Singh,21,3,One-time
192,M,Anil Reddy,63,7,Regular
193,F,Pooja Chopra,41,7,Corporate
194,M,Anil Gupta,43,4,Regular
195,F,Sonia Kumar,45,3,Corporate
196,M,Suresh Kumar,64,3,Regular
197,F,Sunita Verma,21,5,Corporate
198,M,Amit Joshi,53,7,Regular
199,M,Anil Chopra,32,2,One-time
200,F,Preeti Singh,39,5,Regular
201,M,Anil Patel,41,4,Regular
202,M,Sanjay Kumar,41,5,One-time
203,M,Suresh Joshi,54,6,Corporate
204,M,Sanjay Kumar,22,5,Regular
205,F,Anita Gupta,23,5,One-time
206,M,Karan Joshi,27,5,Regular
207,F,Sonia Reddy,20,6,Regular
208,M,Vijay Singh,55,5,Corporate
209,M,Rahul Sharma,51,6,One-time
210,F,Sonia Chopra,23,3,Regular
211,M,Suresh Reddy,27,4,Corporate
212,F,Priya Kumar,33,4,Corporate
213,F,Kavita Chopra,46,3,One-time
214,F,Rekha Kumar,20,7,Corporate
215,M,Ramesh Joshi,28,4,Corporate
216,M,Suresh Iyer,54,6,One-time
217,F,Anita Joshi,21,6,One-time
218,M,Ramesh Sharma,21,5,Regular
219,F,Priya Joshi,41,3,Corporate
220,M,Ramesh Kumar,45,3,Regular
221,F,Rekha Kumar,52,8,Regular
222,F,Ayesha Chopra,55,5,Corporate
223,F,Priya Verma,41,4,Corporate
224,F,Pooja Verma,39,6,Regular
225,F,Pooja Joshi,43,9,Corporate
226,F,Ayesha Sharma,35,1,Regular
227,M,Karan Chopra,20,4,Regular
228,F,Anita Iyer,63,10,One-time
229,M,Ramesh Patel,28,1,Corporate
230,M,Rahul Kumar,26,9,Corporate
231,F,Preeti Joshi,50,5,Corporate
232,M,Vijay Chopra,43,4,Corporate
233,M,Ramesh Sharma,53,9,Regular
234,F,Pooja Joshi,21,5,Regular
235,F,Kavita Gupta,19,4,Regular
236,M,Vijay Patel,25,6,Regular
237,F,Anita Sharma,24,6,Corporate
238,M,Anil Chopra,53,6,Corporate
239,M,Suresh Patel,51,5,Corporate
240,F,Neha Joshi,57,10,Corporate
241,F,Neha Iyer,36,6,One-time
242,F,Ayesha Singh,46,8,One-time
243,F,Priya Joshi,56,8,Corporate
244,M,Suresh Gupta,23,7,Corporate
245,M,Vijay Chopra,27,8,Corporate
246,M,Ramesh Reddy,58,1,Regular
247,M,Suresh Iyer,59,3,One-time
248,M,Sanjay Gupta,22,10,Corporate
249,F,Rekha Patel,41,1,Regular
250,M,Suresh Patel,58,1,One-time
251,F,Kavita Patel,39,7,One-time
252,M,Arjun Singh,43,7,Corporate
253,M,Anil Chopra,54,3,One-time
254,M,Vijay Kumar,62,10,Corporate
255,M,Suresh Chopra,46,6,One-time
256,M,Amit Joshi,53,1,Corporate
257,M,Sanjay Verma,37,3,Corporate
258,M,Suresh Reddy,35,4,One-time
259,M,Ramesh Patel,57,8,Regular
260,M,Rahul Kumar,62,4,One-time
261,F,Preeti Gupta,58,3,Corporate
262,F,Sonia Iyer,32,10,Regular
263,M,Sanjay Verma,32,8,Regular
264,F,Sunita Gupta,41,8,Corporate
265,M,Arjun Gupta,46,4,Regular
266,M,Suresh Verma,34,5,Corporate
267,F,Sunita Patel,64,4,Regular
268,F,Kavita Reddy,42,2,Regular
269,F,Anita Verma,33,5,Regular
270,F,Neha Reddy,34,6,One-time
271,M,Arjun Chopra,64,8,Regular
272,M,Amit Verma,64,2,One-time
273,F,Neha Kumar,38,9,Corporate
274,M,Arjun Patel,61,6,Corporate
275,M,Suresh Iyer,44,3,Corporate
276,F,Pooja Verma,22,8,Regular
277,M,Rajesh Kumar,39,2,One-time
278,F,Sonia Reddy,50,2,Regular
279,F,Priya Iyer,57,9,Corporate
280,F,Preeti Kumar,19,6,One-time
281,F,Priya Patel,52,4,Corporate
282,F,Kavita Verma,60,2,One-time
283,M,Karan Chopra,36,4,Corporate
284,F,Pooja Reddy,57,9,Corporate
285,F,Preeti Iyer,44,9,Corporate
286,M,Arjun Verma,57,8,Corporate
287,M,Suresh Joshi,53,7,Regular
288,F,Sunita Singh,56,3,Regular
289,M,Rahul Iyer,19,10,One-time
290,F,Priya Reddy,58,7,One-time
291,M,Ramesh Iyer,35,1,Corporate
292,F,Kavita Chopra,63,1,One-time
293,M,Rajesh Joshi,40,9,Regular
294,F,Sunita Patel,43,4,Corporate
295,M,Arjun Singh,28,3,One-time
